,India
12/25/21,6987.0
12/26/21,6531.0
12/27/21,6358.0
12/28/21,9195.0
12/29/21,13154.0
12/30/21,16764.0
12/31/21,22775.0
1/1/22,27553.0
1/2/22,33750.0
1/3/22,37379.0
1/4/22,58097.0
1/5/22,90928.0
1/6/22,117100.0
1/7/22,141986.0
1/8/22,159632.0
1/9/22,179723.0
1/10/22,168063.0
1/11/22,194720.0
1/12/22,247417.0
1/13/22,264202.0
1/14/22,268833.0
1/15/22,271202.0
1/16/22,258089.0
1/17/22,238018.0
1/18/22,282970.0
1/19/22,317532.0
1/20/22,347254.0
1/21/22,337704.0
1/22/22,333533.0
1/23/22,306064.0
1/24/22,255874.0
1/25/22,285914.0
1/26/22,286384.0
1/27/22,251209.0
1/28/22,235532.0
1/29/22,234281.0
1/30/22,209918.0
1/31/22,167059.0
2/1/22,161386.0
2/2/22,172433.0
2/3/22,149394.0
2/4/22,127952.0
2/5/22,107474.0
2/6/22,83876.0
2/7/22,67597.0
2/8/22,71365.0
2/9/22,67084.0
2/10/22,58077.0
2/11/22,50407.0
2/12/22,44877.0
2/13/22,34113.0
2/14/22,27409.0
2/15/22,30615.0
2/16/22,30757.0
2/17/22,25920.0
2/18/22,22270.0
2/19/22,19968.0
2/20/22,16051.0
2/21/22,13405.0
2/22/22,15102.0
2/23/22,14148.0
2/24/22,13166.0
2/25/22,11499.0
2/26/22,10273.0
2/27/22,8013.0
2/28/22,6915.0
3/1/22,7554.0
3/2/22,6561.0
3/3/22,6396.0
3/4/22,5921.0
3/5/22,5476.0
3/6/22,4362.0
3/7/22,3993.0
3/8/22,4575.0
3/9/22,4184.0
3/10/22,4194.0
3/11/22,3614.0
3/12/22,3116.0
3/13/22,2503.0
3/14/22,2568.0
3/15/22,2876.0
3/16/22,2539.0
3/17/22,2528.0
3/18/22,2075.0
3/19/22,1761.0
3/20/22,1549.0
3/21/22,1581.0
3/22/22,1778.0
3/23/22,1938.0
3/24/22,1685.0
3/25/22,1660.0
3/26/22,1421.0
3/27/22,1270.0
3/28/22,1259.0
3/29/22,1233.0
3/30/22,1225.0
3/31/22,1335.0
4/1/22,1260.0
4/2/22,1096.0
4/3/22,913.0
4/4/22,795.0
4/5/22,1086.0
4/6/22,1033.0
4/7/22,1109.0
4/8/22,1150.0
4/9/22,1054.0
4/10/22,861.0
4/11/22,796.0
4/12/22,1088.0
4/13/22,1007.0
4/14/22,949.0
4/15/22,975.0
4/16/22,1150.0
4/17/22,2183.0
4/18/22,1247.0
4/19/22,2067.0
4/20/22,2380.0
4/21/22,2451.0
4/22/22,2527.0
4/23/22,2593.0
4/24/22,2541.0
4/25/22,11.0
4/26/22,5399.0
4/27/22,3303.0
4/28/22,3377.0
4/29/22,3688.0
4/30/22,3324.0
5/1/22,3157.0
5/2/22,2568.0
