,Germany
5/12/21,14909.0
5/13/21,17419.0
5/14/21,11336.0
5/15/21,7894.0
5/16/21,8500.0
5/17/21,5412.0
5/18/21,4209.0
5/19/21,11040.0
5/20/21,12298.0
5/21/21,8769.0
5/22/21,7082.0
5/23/21,6714.0
5/24/21,2682.0
5/25/21,1911.0
5/26/21,2626.0
5/27/21,6313.0
5/28/21,7380.0
5/29/21,5426.0
5/30/21,3852.0
5/31/21,1978.0
6/1/21,1785.0
6/2/21,4917.0
6/3/21,4640.0
6/4/21,3165.0
6/5/21,2294.0
6/6/21,2440.0
6/7/21,1117.0
6/8/21,1204.0
6/9/21,3254.0
6/10/21,3187.0
6/11/21,2440.0
6/12/21,1911.0
6/13/21,1489.0
6/14/21,549.0
6/15/21,652.0
6/16/21,1455.0
6/17/21,1330.0
6/18/21,1076.0
6/19/21,1108.0
6/20/21,842.0
6/21/21,346.0
6/22/21,455.0
6/23/21,1016.0
6/24/21,1008.0
6/25/21,774.0
6/26/21,592.0
6/27/21,538.0
6/28/21,219.0
6/29/21,404.0
6/30/21,808.0
7/1/21,892.0
7/2/21,649.0
7/3/21,671.0
7/4/21,559.0
7/5/21,212.0
7/6/21,440.0
7/7/21,985.0
7/8/21,970.0
7/9/21,949.0
7/10/21,952.0
7/11/21,745.0
7/12/21,324.0
7/13/21,646.0
7/14/21,1548.0
7/15/21,1642.0
7/16/21,1456.0
7/17/21,1608.0
7/18/21,1292.0
7/19/21,546.0
7/20/21,1183.0
7/21/21,2203.0
7/22/21,1890.0
7/23/21,2089.0
7/24/21,1919.0
7/25/21,1387.0
7/26/21,958.0
7/27/21,1545.0
7/28/21,2768.0
7/29/21,3142.0
7/30/21,2454.0
7/31/21,2400.0
8/1/21,2097.0
8/2/21,847.0
8/3/21,1766.0
8/4/21,3571.0
8/5/21,3539.0
8/6/21,3448.0
8/7/21,3206.0
8/8/21,3127.0
8/9/21,1183.0
8/10/21,2480.0
8/11/21,4996.0
8/12/21,5638.0
8/13/21,5578.0
8/14/21,5644.0
8/15/21,4728.0
8/16/21,2126.0
8/17/21,3912.0
8/18/21,8324.0
8/19/21,8400.0
8/20/21,9280.0
8/21/21,8092.0
8/22/21,7050.0
8/23/21,3668.0
8/24/21,5747.0
8/25/21,11561.0
8/26/21,12626.0
8/27/21,12029.0
8/28/21,10303.0
8/29/21,8416.0
8/30/21,4559.0
8/31/21,5750.0
9/1/21,13531.0
9/2/21,13715.0
9/3/21,14251.0
9/4/21,10835.0
9/5/21,10453.0
9/6/21,4749.0
9/7/21,6726.0
9/8/21,13565.0
9/9/21,15431.0
9/10/21,12969.0
9/11/21,11214.0
9/12/21,7345.0
9/13/21,5511.0
9/14/21,6325.0
9/15/21,12455.0
9/16/21,12925.0
9/17/21,11022.0
9/18/21,8901.0
9/19/21,7337.0
9/20/21,3736.0
9/21/21,4664.0
9/22/21,10454.0
9/23/21,10696.0
9/24/21,9727.0
9/25/21,7211.0
9/26/21,7774.0
9/27/21,3022.0
9/28/21,4171.0
9/29/21,11780.0
9/30/21,12150.0
10/1/21,10118.0
10/2/21,8517.0
10/3/21,6164.0
10/4/21,3088.0
10/5/21,4799.0
10/6/21,11547.0
10/7/21,11644.0
10/8/21,10429.0
10/9/21,8854.0
10/10/21,7612.0
10/11/21,3111.0
10/12/21,4971.0
10/13/21,11903.0
10/14/21,12382.0
10/15/21,11518.0
10/16/21,10949.0
10/17/21,8682.0
10/18/21,4056.0
10/19/21,6771.0
10/20/21,17015.0
10/21/21,16077.0
10/22/21,19572.0
10/23/21,15145.0
10/24/21,13732.0
10/25/21,6573.0
10/26/21,10473.0
10/27/21,23212.0
10/28/21,28037.0
10/29/21,24668.0
10/30/21,21543.0
10/31/21,16887.0
11/1/21,9658.0
11/2/21,10813.0
11/3/21,20398.0
11/4/21,33949.0
11/5/21,37120.0
11/6/21,34002.0
11/7/21,23543.0
11/8/21,15513.0
11/9/21,21832.0
11/10/21,39676.0
11/11/21,50196.0
11/12/21,48640.0
11/13/21,45081.0
11/14/21,33498.0
11/15/21,23607.0
11/16/21,32048.0
11/17/21,52826.0
11/18/21,65371.0
11/19/21,52970.0
11/20/21,63924.0
11/21/21,42727.0
11/22/21,30643.0
11/23/21,45326.0
11/24/21,66884.0
11/25/21,75961.0
11/26/21,76414.0
11/27/21,67125.0
11/28/21,44401.0
11/29/21,29364.0
11/30/21,45753.0
12/1/21,67186.0
12/2/21,73209.0
12/3/21,74352.0
12/4/21,64510.0
12/5/21,42055.0
12/6/21,27836.0
12/7/21,36059.0
12/8/21,69601.0
12/9/21,70611.0
12/10/21,61288.0
12/11/21,53697.0
12/12/21,32646.0
12/13/21,21743.0
12/14/21,30823.0
12/15/21,51301.0
12/16/21,56677.0
12/17/21,50968.0
12/18/21,42813.0
12/19/21,29348.0
12/20/21,16086.0
12/21/21,23428.0
12/22/21,45659.0
12/23/21,44927.0
12/24/21,35431.0
12/25/21,22214.0
12/26/21,10100.0
12/27/21,13908.0
12/28/21,21080.0
12/29/21,40043.0
12/30/21,42770.0
12/31/21,41240.0
1/1/22,26392.0
1/2/22,12515.0
1/3/22,18518.0
1/4/22,30561.0
1/5/22,58912.0
1/6/22,64340.0
1/7/22,56335.0
1/8/22,55889.0
1/9/22,36552.0
1/10/22,25255.0
1/11/22,45690.0
1/12/22,80430.0
1/13/22,81417.0
1/14/22,92223.0
1/15/22,78022.0
1/16/22,52504.0
1/17/22,34145.0
1/18/22,74405.0
1/19/22,112323.0
1/20/22,133536.0
1/21/22,140160.0
1/22/22,135461.0
1/23/22,85440.0
1/24/22,63393.0
1/25/22,126955.0
1/26/22,164000.0
1/27/22,203136.0
1/28/22,190148.0
1/29/22,189166.0
1/30/22,118970.0
1/31/22,78318.0
2/1/22,162613.0
2/2/22,208498.0
2/3/22,236120.0
2/4/22,248838.0
2/5/22,217815.0
2/6/22,133173.0
2/7/22,95267.0
2/8/22,169571.0
2/9/22,234250.0
2/10/22,247862.0
2/11/22,240172.0
2/12/22,209789.0
2/13/22,125160.0
2/14/22,76465.0
2/15/22,159217.0
2/16/22,219972.0
2/17/22,235626.0
2/18/22,220048.0
2/19/22,189105.0
2/20/22,118032.0
2/21/22,73867.0
2/22/22,125902.0
2/23/22,209052.0
2/24/22,216322.0
2/25/22,210743.0
2/26/22,175833.0
2/27/22,107913.0
2/28/22,62349.0
3/1/22,122111.0
3/2/22,186406.0
3/3/22,210673.0
3/4/22,217593.0
3/5/22,192210.0
3/6/22,116889.0
3/7/22,78428.0
3/8/22,156799.0
3/9/22,215854.0
3/10/22,262752.0
3/11/22,252836.0
3/12/22,237086.0
3/13/22,146607.0
3/14/22,92378.0
3/15/22,198888.0
3/16/22,262593.0
3/17/22,294931.0
3/18/22,297845.0
3/19/22,260239.0
3/20/22,131792.0
3/21/22,92314.0
3/22/22,222080.0
3/23/22,283732.0
3/24/22,318387.0
3/25/22,296498.0
3/26/22,252026.0
3/27/22,111224.0
3/28/22,67501.0
3/29/22,237352.0
3/30/22,268477.0
3/31/22,527487.0
4/1/22,-56.0
4/2/22,196456.0
4/3/22,115182.0
4/4/22,0.0
4/5/22,180397.0
4/6/22,416714.0
4/7/22,175263.0
4/8/22,150675.0
4/9/22,55471.0
4/10/22,30789.0
4/11/22,200442.0
4/12/22,138651.0
4/13/22,165368.0
4/14/22,156864.0
4/15/22,37568.0
4/16/22,39784.0
4/17/22,20482.0
4/18/22,22483.0
4/19/22,198583.0
4/20/22,186325.0
4/21/22,161718.0
4/22/22,135079.0
4/23/22,39179.0
4/24/22,20084.0
4/25/22,136798.0
4/26/22,0.0
4/27/22,271765.0
4/28/22,101610.0
4/29/22,87298.0
4/30/22,11718.0
5/1/22,4032.0
5/2/22,113522.0
