,US
8/11/21,154443.0
8/12/21,144079.0
8/13/21,226826.0
8/14/21,73067.0
8/15/21,46787.0
8/16/21,194360.0
8/17/21,150588.0
8/18/21,167610.0
8/19/21,155221.0
8/20/21,239074.0
8/21/21,92196.0
8/22/21,44203.0
8/23/21,208228.0
8/24/21,154464.0
8/25/21,178971.0
8/26/21,183770.0
8/27/21,238679.0
8/28/21,78890.0
8/29/21,52013.0
8/30/21,229221.0
8/31/21,179954.0
9/1/21,190517.0
9/2/21,179135.0
9/3/21,235445.0
9/4/21,85909.0
9/5/21,63505.0
9/6/21,93744.0
9/7/21,209180.0
9/8/21,176913.0
9/9/21,166423.0
9/10/21,242020.0
9/11/21,89132.0
9/12/21,48350.0
9/13/21,210779.0
9/14/21,145403.0
9/15/21,173250.0
9/16/21,158787.0
9/17/21,210856.0
9/18/21,74971.0
9/19/21,44872.0
9/20/21,171803.0
9/21/21,121740.0
9/22/21,131354.0
9/23/21,129164.0
9/24/21,174768.0
9/25/21,60495.0
9/26/21,54319.0
9/27/21,155946.0
9/28/21,112748.0
9/29/21,121386.0
9/30/21,110392.0
10/1/21,154826.0
10/2/21,48206.0
10/3/21,44777.0
10/4/21,142921.0
10/5/21,95227.0
10/6/21,112175.0
10/7/21,101529.0
10/8/21,131417.0
10/9/21,38829.0
10/10/21,39670.0
10/11/21,96063.0
10/12/21,110611.0
10/13/21,108456.0
10/14/21,86949.0
10/15/21,109484.0
10/16/21,39784.0
10/17/21,31655.0
10/18/21,98953.0
10/19/21,81910.0
10/20/21,91621.0
10/21/21,78086.0
10/22/21,95957.0
10/23/21,32415.0
10/24/21,19171.0
10/25/21,112572.0
10/26/21,66660.0
10/27/21,102571.0
10/28/21,75097.0
10/29/21,95107.0
10/30/21,34292.0
10/31/21,32324.0
11/1/21,113255.0
11/2/21,68740.0
11/3/21,85593.0
11/4/21,81441.0
11/5/21,96859.0
11/6/21,34860.0
11/7/21,36829.0
11/8/21,110752.0
11/9/21,78364.0
11/10/21,95070.0
11/11/21,57644.0
11/12/21,143505.0
11/13/21,43952.0
11/14/21,31912.0
11/15/21,134043.0
11/16/21,87271.0
11/17/21,112842.0
11/18/21,109837.0
11/19/21,126868.0
11/20/21,45360.0
11/21/21,39833.0
11/22/21,144621.0
11/23/21,91347.0
11/24/21,111577.0
11/25/21,39319.0
11/26/21,53421.0
11/27/21,26540.0
11/28/21,43150.0
11/29/21,186300.0
11/30/21,117109.0
12/1/21,137110.0
12/2/21,138851.0
12/3/21,158620.0
12/4/21,66344.0
12/5/21,55184.0
12/6/21,177688.0
12/7/21,113262.0
12/8/21,149909.0
12/9/21,124529.0
12/10/21,158204.0
12/11/21,56588.0
12/12/21,52306.0
12/13/21,185491.0
12/14/21,115029.0
12/15/21,143632.0
12/16/21,141727.0
12/17/21,192656.0
12/18/21,79762.0
12/19/21,89199.0
12/20/21,240047.0
12/21/21,179404.0
12/22/21,243751.0
12/23/21,269764.0
12/24/21,248515.0
12/25/21,86650.0
12/26/21,178382.0
12/27/21,500560.0
12/28/21,362031.0
12/29/21,502109.0
12/30/21,590681.0
12/31/21,513622.0
1/1/22,188726.0
1/2/22,285918.0
1/3/22,1044934.0
1/4/22,812165.0
1/5/22,662581.0
1/6/22,835030.0
1/7/22,869739.0
1/8/22,397682.0
1/9/22,485015.0
1/10/22,1383902.0
1/11/22,787377.0
1/12/22,848623.0
1/13/22,861355.0
1/14/22,880069.0
1/15/22,408291.0
1/16/22,479790.0
1/17/22,675076.0
1/18/22,1129521.0
1/19/22,908086.0
1/20/22,732594.0
1/21/22,841067.0
1/22/22,302485.0
1/23/22,365409.0
1/24/22,922048.0
1/25/22,493171.0
1/26/22,624027.0
1/27/22,506274.0
1/28/22,614064.0
1/29/22,178619.0
1/30/22,197948.0
1/31/22,542252.0
2/1/22,325417.0
2/2/22,329529.0
2/3/22,274802.0
2/4/22,354962.0
2/5/22,86421.0
2/6/22,83471.0
2/7/22,346448.0
2/8/22,214347.0
2/9/22,188404.0
2/10/22,171418.0
2/11/22,209314.0
2/12/22,51867.0
2/13/22,58319.0
2/14/22,170179.0
2/15/22,111170.0
2/16/22,114830.0
2/17/22,101691.0
2/18/22,145172.0
2/19/22,31408.0
2/20/22,23002.0
2/21/22,82883.0
2/22/22,89341.0
2/23/22,85142.0
2/24/22,67075.0
2/25/22,74373.0
2/26/22,47414.0
2/27/22,18219.0
2/28/22,98918.0
3/1/22,46710.0
3/2/22,53404.0
3/3/22,48616.0
3/4/22,51258.0
3/5/22,14919.0
3/6/22,12401.0
3/7/22,64086.0
3/8/22,29756.0
3/9/22,37701.0
3/10/22,46577.0
3/11/22,49711.0
3/12/22,10217.0
3/13/22,11050.0
3/14/22,35387.0
3/15/22,24381.0
3/16/22,46132.0
3/17/22,53170.0
3/18/22,31355.0
3/19/22,10882.0
